,date_x,ret_x,date_y,ret_y,date,ret,simp_ret
0,1960-01-29,-0.06624392,1960-01-29,0.009443,1960-01-29,3.4273240755519,0.0028601859454007172
1,1960-02-29,0.01441908,1960-02-29,0.008344,1960-02-29,3.8082097678365,0.0031785490478644096
2,1960-03-31,-0.01282217,1960-03-31,0.014125,1960-03-31,2.5378279414877,0.0021170945044886036
3,1960-04-29,-0.01527067,1960-04-29,-0.003661,1960-04-29,2.8935420149962,0.0024141944982656316
4,1960-05-31,0.03409799,1960-05-31,0.006015,1960-05-31,2.334167862498,0.001947032897193779
5,1960-06-30,0.0228328,1960-06-30,0.008191,1960-06-30,1.7250132622853,0.0014385447661824369
6,1960-07-29,-0.02270468,1960-07-29,0.015361,1960-07-29,1.7503988919709,0.001459730113641644
7,1960-08-31,0.03221498,1960-08-31,0.008301,1960-08-31,2.0044308810747,0.001671754894338573
8,1960-09-30,-0.05867334,1960-09-30,0.002977,1960-09-30,2.4462184014164,0.0020405945194750252
9,1960-10-31,-0.004704664,1960-10-31,0.000336,1960-10-31,1.5218085251878,0.0012689782433807917
10,1960-11-30,0.0486173,1960-11-30,0.000565,1960-11-30,1.877482393038,0.0015657932369734784
11,1960-12-30,0.04853724,1960-12-30,0.011715,1960-12-30,2.0804910825856,0.0017352463694109144
12,1961-01-31,0.0639524,1961-01-31,-0.003329,1961-01-31,2.00414316405,0.0016715147293533406
13,1961-02-28,0.03700465,1961-02-28,0.00326,1961-02-28,2.4459677710148,0.002040385234632902
14,1961-03-30,0.03060992,1961-03-30,0.004403,1961-03-30,2.1059484482928,0.0017564978785871155
15,1961-04-28,0.005644733,1961-04-28,0.001285,1961-04-28,1.9027555486486,0.001586887399226633
16,1961-05-31,0.02589407,1961-05-31,-0.000731,1961-05-31,2.3041185668378,0.001921943375806645
17,1961-06-30,-0.02849906,1961-06-30,0.001143,1961-06-30,2.0906455046386,0.0017437231073402781
18,1961-07-31,0.02995465,1961-07-31,0.004986,1961-07-31,1.5979942315136,0.0013325489149578207
19,1961-08-31,0.02685441,1961-08-31,0.000561,1961-08-31,2.0602687941931,0.0017183653624457396
20,1961-09-29,-0.01999036,1961-09-29,0.003581,1961-09-29,2.0601353199864,0.0017182539428151067
21,1961-10-31,0.02733113,1961-10-31,0.004641,1961-10-31,1.9533032427071,0.0016290782107881707
22,1961-11-30,0.04545113,1961-11-30,0.002618,1961-11-30,2.3243324695357,0.0019388208118511496
